street,aprt_level,aprt_living_area,aprt_pricepermether,aprt_prices,aprt_rooms,aprt_total_area,aprt_total_levels,aprt_year
Радченка,11,0,4457.0,410000.0,3,92,26,2013
Лабораторний,17,30,1550.0,93000.0,2,60,22,2007
Конєва,19,47.72,1939.0,137634.0,2,70.99,19,0
Шаповала,4,16,1901.0,115000.0,2,60.51,5,2020
Дніпровська,19,0,1545.0,85000.0,1,55,25,0
Клеманська,6,48,1566.0,130000.0,3,83,10,2013
Григоренка,4,20,2055.0,113000.0,1,55,20,2015
Туполєва,23,0,1097.0,39500.0,1,36,25,0
Хмельницького,9,40,1046.0,68000.0,3,65,9,1963
Саперне,3,43,1384.0,155000.0,3,112,25,2019
Героїв,3,32.1,2200.0,110000.0,2,50,3,2013
Дніпровська,12,28.78,1103.0,75000.0,2,68,24,0
Тарасівська,2,42,1671.0,142000.0,3,85,15,2018
Краківська,6,30,1569.0,80000.0,2,51,9,1981
Юнацька,4,22,935.0,43000.0,2,46,4,0
Клеманська,10,95,1198.0,248000.0,5,207,14,2015
Героїв,8,73,2154.0,280000.0,3,130,11,2005
Драгомирова,2,40,2580.0,209000.0,2,81,10,2003
No street name,3,13,1439.0,58990.0,1,41,32,0
Драгоманова,23,29,2220.0,111000.0,1,50,25,2019
Українки,2,41,1796.0,97000.0,3,54,9,1971
Тимошенка,7,0,819.0,68000.0,3,83,25,0
Маяковського,3,50,2283.0,184900.0,3,81,13,1980
Дмитрівська,3,30,1398.0,61500.0,2,44,5,1959
Курбаса,2,47,1233.0,111000.0,3,90,25,2014
Комарова,11,0,2414.0,190700.0,2,79,11,0
Драгоманова,21,13.61,1233.0,53000.0,1,43,24,0
Драгомирова,2,29,1353.0,69000.0,2,51,9,1980
Моторний,7,75.2,1340.0,169000.0,4,126.1,8,2019
Милославська,10,29,1730.0,95000.0,2,54.9,16,1993
Бойчука,13,52,1000.0,110000.0,3,110,18,2003
Закревського,22,46.5,55472.0,158918.9189189189,5,106,25,2017
Івана,5,47,1389.0,99999.0,3,72,22,1996
Філатова,17,0,2680.0,327000.0,4,122,20,0
Перемоги,13,0,1269.0,85000.0,2,67,34,0
Миропільська,6,240,2894.0,790000.0,6,273,6,1914
Григоренка,11,48,1145.0,95000.0,3,83,16,2005
Юнацька,9,17,1556.0,70000.0,1,45,16,0
Вишгородська,1,0,31530.0,63570.86486486487,3,74.6,4,0
Жолудєва,1,0,30000.0,21810.81081081081,1,26.9,5,0
Павлівська,17,15,1571.0,77000.0,1,49,26,0
Голосіївський,11,41.8,892.0,75000.0,2,84.1,11,1999
Осокорська,4,103,2623.0,480000.0,4,183,5,2007
Вишгородська,10,20.8,1449.0,70000.0,1,48.3,24,2009
Драгомирова,12,20,2697.0,205000.0,2,76,23,2014
Тютюнника,5,0,3125.0,499990.0,3,160,11,2005
Маккейна,5,10.28,1274.0,52000.0,1,40.82,16,2017
Івана,7,26.9,1563.0,93000.0,1,59.5,14,2007
Героїв,9,29,1603.0,117000.0,3,73,16,0
Липківського,23,14.6,1152.0,53900.0,1,46.79,25,0
No street name,15,18,1318.0,58000.0,1,44,24,2015
Коновальця,12,35.6,2120.0,159000.0,2,75,25,0
Максимовича,22,21,1933.0,116000.0,2,60,26,2014
Зарічна,6,18,1235.0,42000.0,1,34,9,1977
Голосіївська,6,41,854.0,55500.0,3,65,9,1974
Ясинуватський,5,0,1947.0,370000.0,3,190,24,2005
No street name,8,78,2708.0,650000.0,4,240,8,1958
